Format_details, N
Sony, 32763
SONY, 18277
SKC, 5081
NA, 5067
Maxell, 3581
JVC, 3190
BASF, 2102
TDK, 1544
MAXELL, 1296
Fuji, 973
Scotch, 404
Panasonic, 341
FUJI, 200
SONY-VHS, 188
Radio Shack, 112
PANASONIC, 112
Samsung, 112
Maxwell, 79
Sony 500, 72
Sony K-60, 53
SONY VHS, 53
MAXAII, 52
Sony T160, 51
SCOTCH, 50
Sony 750, 42
MAXELL-VHS, 42
Maxwell Video Cassette, 40
MAXWELL, 39
SONY V, 37
Kodak, 35
Memorex, 30
SONY 500, 29
RCA, 25
JVC XS, 22
?, 21
FUJI HQ, 20
SONY 750, 19
RADIO SHACK, 19
SAMSUNG, 19
BASF-VHS, 18
MEMOREX, 17
TDK-VHS, 16
Sony 830, 15
Fuji L-500, 14
Zenith, 13
Sony (label), 13
Fotomat, 12
SUPERTAPE, 12
SHC, 10
Ampex, 9
Goldstar, 9
GX-SILVER, 8
MAXWELL HGX-GOLD, 8
Sony K-30, 7
Sony 500 Video Cassette, 6
Sony 830 Video Cassette, 6
KODAK, 6
MAXWELL GX-SILVER, 6
FOTOMAT, 6
BLANK TAPE, 6
Maxell L-500, 5
Sony 750 Video Cassette, 4
Fuji Video Casette L-500, 4
PHILIPS, 4
N/A, 4
Scotch HS, 4
Fuji HQ, 4
GX-Silver, 4
Maxell GX-Silver, 4
MAXWELL 750 EX, 3
Radio Shack 500, 3
Pansonic, 3
Sony Dimension 750, 3
Fuji Video Cassette L-500, 3
Scotch Video Cassette L-500, 3
Maxwell Professional L-500, 3
Zenith Video, 3
FUJI SUPER HG, 3
JVC SX, 3
MAXWELL 750 HGX, 2
SONY L-500, 2
SONY L-750, 2
HGX-GOLD, 2
no info, 2
HGX, 2
?[no label], 2
Supertape, 2
Sony Betamax 500, 2
Fuji Video Cassette L-750, 2
PANASONIC SUPER SP, 2
HS, 2
GoldStar, 2
STD, 2
Scotch T-120, 2
SKC HQ T-120, 2
FUJI T-120, 2
MAXWELL HGX, 2
L-500, 2
Sony Dynamicron 750, 2
Sony Dynamicron 500, 2
Goldstar T120, 2
GX-silver, 2
Maxell HGX-Gold, 2
[illegible], 2
LABEL MISSING, 2
GOLDSTAR, 2
Radioshack Betamax, 1
Ampex Videcassette, 1
Fuji Video Cassette B Type, 1
Ampex Videocassette, 1
EX MAXELL, 1
The inventor of VHS, 1
SKC OR SRC, 1
covered, 1
Covered, 1
see notes, 1
AMPSX, 1
Sony 250, 1
FUJI L-500, 1
Scotch EG, 1
JVC-VHS, 1
ZENITH, 1
500.0, 1
unspecified, 1
MEMOREX L-750, 1
PANASONIC SP, 1
PHG, 1
750 EX, 1
no writing on tape, 1
ER, 1
DYNAREC, 1
Scotch L-500, 1
Maxell L-750, 1
XS JVC, 1
SCOTCH HS, 1
Panasonic Super SP, 1
HGX-Gold, 1
Samsung (label), 1
SKC (label), 1
Unknown, 1
JVC (label), 1
Fuji (label), 1
Kodiak, 1
Blockbuster, 1
REMOREX, 1
RADIOSHACK, 1
CSPAN ; CNN ; CNBC, 1
Polaroid, 1
SOny, 1
XS, 1
